名字,粉丝数,文章数量,国家,简介,详情页的url,图片url
肌肤之钥 clé de Peau Beauté,3.9万,5.5万,日本,品牌名来自法语'一把美丽肌肤的钥匙'。殿堂级品牌，以优质的肌肤护理及彩妆理念，帮助肌肤自身优化，展现简约高贵的妆容。,https://www.xiaohongshu.com/page/brands/5a4384978000862471d15b7b,http://ci.xiaohongshu.com/d633b8f7-d426-41ba-ad8a-7a11ed129d27
MICHAEL KORS 迈克高仕,1.7万,2.7万,美国,MICHAEL KORS 以其设计师名字命名，1981年创立于美国，产品涵盖男女成衣、手袋、鞋履、配饰、腕表、香氛，以及女士珠宝。品牌始终致力于传递精致的 JET SET 生活态度。,https://www.xiaohongshu.com/page/brands/5a4384858000862471d144ba,http://ci.xiaohongshu.com/31c60412-0277-46e4-b499-93b5713a36b7
VDL,None,5127,韩国,世界著名彩妆大师Wendy Rowe和韩国LG携手打造的重磅级彩妆品牌，其当家产品是贝壳提亮液。,https://www.xiaohongshu.com/page/brands/5a43848d8000862471d14f00,http://ci.xiaohongshu.com/a454501b-ab29-456d-b799-a74479342c77
HABA,None,1.3万,日本,HABA=Health Aid Beauty Aid，是源自北海道的日本护肤品牌。自1983年创立以来，它坚持“无添加主义”，用优质严苛的工艺为爱美女性提供温和的护肤品，敏感肌也能安心用。,https://www.xiaohongshu.com/page/brands/5a43849c8000862471d16212,http://ci.xiaohongshu.com/673644d6-52e9-4207-ac78-82cf549d9217
珂莱欧 CLIO,2502,9267,韩国,珂莱欧将多年专业的彩妆经验，创新性的融入高品质的产品中，让各肤质类型和各年龄段的人群都能轻松搞定如专业彩妆师级别精致妆容，打造更时髦的都市女性；菲丽菲拉针对妙龄少女，提供更具时尚潮流、个性化需求的魅力彩妆；果达儿专注寻找对肌肤有益的自然原料，研究改善肌肤的配方让皮肤更活力健康。,https://www.xiaohongshu.com/page/brands/5a43849a8000862471d1600f,http://ci.xiaohongshu.com/0285c6ad-e8c8-400d-865f-02b233d87d55
圣罗兰 Saint Laurent,8.8万,10.1万,法国,Saint Laurent的设计始终充满危险与神秘的诱惑力，自由大胆，引领当下潮流。,https://www.xiaohongshu.com/page/brands/5a4384848000862471d143a9,http://ci.xiaohongshu.com/807cf462-270c-499b-99c9-b98f2b5ab37d
乐敦 Rohto,331,8175,日本,乐敦是曼秀雷敦药业有限公司旗下的日本国民品牌，有“专业护眼专家”之称。,https://www.xiaohongshu.com/page/brands/5a4384818000862471d1401e,http://ci.xiaohongshu.com/de57880b-c8b6-498e-a3b3-719fa8a5746c
MCM,7299,1.8万,德国,来自德国的奢侈皮具品牌，明星街拍出镜率超高，已经成为潮人的时尚风向标。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d140e9,http://ci.xiaohongshu.com/09fb13db-2d51-47d4-94a0-74919c39ac3d
华伦天奴 Valentino,None,2.2万,意大利,Valentino是知名的意大利高级时装品牌，精美奢华，追求时尚与经典的融合。,https://www.xiaohongshu.com/page/brands/5a4384848000862471d14421,http://ci.xiaohongshu.com/dcb161c6-d52a-4e82-8eb3-7293742004f7
汤姆·福特 TOM FORD,None,5.5万,美国,设计师Tom ford创立的个人品牌，大胆充满时尚感的设计和艳丽魅惑的色彩是很多小红薯的心头爱。,https://www.xiaohongshu.com/page/brands/5a4384808000862471d13f59,http://ci.xiaohongshu.com/57e9f17b-9f49-4772-9ef6-9c5c35e02355
蒂佳婷 Dr.Jart+,5.2万,1.1万,韩国,Dr.Jart+是来自韩国的药妆品牌，同时也是韩国的BB霜始祖。品牌寓意为”Dr.”与”art”相结合，把理性、信任的专业背景与感性、热情、快乐的护肤艺术相融合。,https://www.xiaohongshu.com/page/brands/5a4384948000862471d15791,http://ci.xiaohongshu.com/f7065d4b-cda5-4d5f-86f1-3114cae235cf
伊索 Aesop,None,1.3万,澳洲,澳洲天然护肤品牌，在天然植物护肤的基础上率先推行有机理念，并结合内外调理的“理智”生活哲学，是美容界的“偏力”品牌。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d14118,http://ci.xiaohongshu.com/4ef3bab5-f171-4257-aeb8-0dcae4ab63e4
苏秘37° su:m37°,3.2万,8978,韩国,LG生活健康旗下的护肤品牌，设有单独的自然发酵研究所，拥有生命，真诚，等待的品牌哲学。配合风、水、空气和自然的韵律，在37°的恒温中自然发酵出温和安心的护肤产品，多个系列满足不同肤质不同年龄层的需求。,https://www.xiaohongshu.com/page/brands/5a43849b8000862471d16064,http://ci.xiaohongshu.com/bd5e9997-3073-4dc4-aed7-4ca5f9974595
汤丽柏琦 Tory Burch,4750,1.4万,美国,美国轻奢品牌，充满个性的设计广受欢迎。,https://www.xiaohongshu.com/page/brands/5a4384968000862471d15acd,http://ci.xiaohongshu.com/ddf98aab-2761-4fcd-b29a-333f940ac927
Boots,None,5964,英国,Boots是一个超过150年历史的英国美容及护肤品牌，凭着高质量的产品与吸引人的价格深受英国及全世界人民信赖。,https://www.xiaohongshu.com/page/brands/5a4384818000862471d1401b,http://ci.xiaohongshu.com/7d0cb614-8cec-412e-a1b1-8e6b17a5e30a
岚舒 LUSH,None,1.2万,英国,LUSH是来自英国的美妆品牌。坚持全手工制作产品，全天然的成分导致保质期极短，让无数红薯又爱又恨。,https://www.xiaohongshu.com/page/brands/5a4384908000862471d1539b,http://ci.xiaohongshu.com/c4b96d44-fd1b-4cca-9b0d-0db0862bb8d6
膳魔师 THERMOS,16,6519,德国,1904年在德国创立，因为优越的保温性能，已经成为保温瓶全球通用的称呼，更是保温容器的始祖哦。材质轻便好携带，又非常耐用。不论是充满设计感的外观还是保温质量都非常棒，中午的开水晚上喝还烫到嘴，隔天还有余温。,https://www.xiaohongshu.com/page/brands/5a4384a18000862471d16838,http://ci.xiaohongshu.com/e16c520b-7055-4bc7-bbd1-fd0a4b3a8cae
ZARA,2.4万,11.4万,西班牙,"西班牙Inditex集团旗下的服装品牌，深受时尚青年的喜爱，有设计师品牌的优异设计，价格却更为亲民，让平民拥抱高街品牌。凭借一支200多名专业人士的创作团队，设计始终紧跟大众口味。第一家门店于1975年在西班牙拉科鲁尼亚开设，目前已拥有1,900多家店遍布世界87个市场主要城市。",https://www.xiaohongshu.com/page/brands/5a4384888000862471d1493d,http://ci.xiaohongshu.com/0f6b3861-a1c1-424c-83f4-e8b9b7644e71
娜斯 NARS,6.5万,4.6万,美国,来自美国的专业彩妆品牌，包装是经典的黑色，加上个性的Logo来表现品牌的极简精神。不管在色彩的运用还是产品的创意上都相当时尚，是欧美明星大爱的彩妆品牌哟~,https://www.xiaohongshu.com/page/brands/5a43849e8000862471d1644c,http://ci.xiaohongshu.com/6fbb4627-bafa-4c13-9882-1548a282c19e
伊蒂之屋 Etude House,None,2.8万,韩国,韩国爱茉莉太平洋集团旗下的知名彩妆品牌，走甜美浪漫的少女风，从护肤到彩妆都是可爱俏皮又有趣的设计，粉粉嫩嫩的风格俘虏了无数小红薯的心！,https://www.xiaohongshu.com/page/brands/5a4384948000862471d1580b,http://ci.xiaohongshu.com/0b0c12f3-9177-3ba5-99d8-49a500bad3bd
祖·玛珑 Jo Malone London,4.2万,2.5万,英国,英国知名品牌祖马龙JO MALONE，属于雅诗兰黛集团，其香水以简单而纯粹的特质受到诸多的明星喜爱。简约别致的包装，透露着浓厚的英伦风情。,https://www.xiaohongshu.com/page/brands/5a4384978000862471d15b6a,http://ci.xiaohongshu.com/affd2a39-5e98-4a43-b63b-88b04409c9e7
自然乐园 Nature Republic,None,5577,韩国,自然乐园是韩国化妆品界的一匹黑马；包装精致，质地温和，每一件产品都源于大自然，绿色环保。,https://www.xiaohongshu.com/page/brands/5a4384818000862471d14012,http://ci.xiaohongshu.com/37985553-d97c-4ec1-91b3-91ebb1c40945
施华洛世奇 SWAROVSKI,3.4万,3.2万,奥地利,创始于1895年，致力于为你创造闪耀时刻,https://www.xiaohongshu.com/page/brands/5a4384908000862471d15394,http://ci.xiaohongshu.com/48b7c233-9400-4dc2-b97e-f4dc86351239
美宝莲 Maybelline,15.8万,1.8万,美国,美宝莲纽约，是闪耀纽约精神的彩妆品牌。一百多年前，美国化学家Tomas Williams为了让妹妹Mable拥有迷人双眼，创造出了世界上首支睫毛膏，Maybelline也因爱而生。美宝莲纽约激发所有女性定义自己的美，表达自我和彰显个性。美，就现在！,https://www.xiaohongshu.com/page/brands/5a43848e8000862471d150e6,http://ci.xiaohongshu.com/40e50f6e-7478-4487-a5a2-db44d028286a
凯朵,None,1.3万,日本,KATE是在化妆品市场人气颇高的品牌。走的是平价路线，彩妆是最价廉物美的，尤其是眼影盘，多次荣登日本时尚杂志“眼影盘评选”的榜首。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d14121,http://ci.xiaohongshu.com/d5514fa8-86e8-5b12-b54a-77511c16e800
星巴克 Starbucks,1.5万,3.3万,美国,星巴克诞生于美国西雅图，靠咖啡豆起家，自1987年正式成立以来一跃成为巨型连锁咖啡集团，其飞速发展的传奇让全球瞩目。,https://www.xiaohongshu.com/page/brands/5a43848a8000862471d14be6,http://ci.xiaohongshu.com/90da521f-862c-4e28-800e-2793d8333953
雪花秀 Sulwhasoo,8.4万,2.7万,韩国,平衡与和谐，是雪花秀追寻的美丽本源。雪花秀于自然中获取智慧，其原料和配方，不仅能精心养护肌肤，调理肌肤内在的平衡，更能滋润心灵，达到自然与人的和谐之美，力求外表与内在的和谐统一。,https://www.xiaohongshu.com/page/brands/5a4384998000862471d15e9c,http://ci.xiaohongshu.com/40ef5fff-6edf-4527-852d-b7a0e873026b
安娜苏 Anna Sui,16,7077,美国,安娜苏是世界著名的时装及彩妆品牌。产品具有极强的迷惑力，无论服装、配件还是彩妆，都能让人感觉到一种抢眼的、近乎妖艳的色彩震撼。,https://www.xiaohongshu.com/page/brands/5a4384878000862471d1484e,http://ci.xiaohongshu.com/3a17ff4e-4712-4df5-9778-af52b4dac5a0
kate spade new york kate spade,4262,8898,美国,kate spade new york 1993年成立于美国纽约，以优雅的格调、摩登的设计、别致的色彩缔造了独具魅力的品牌风格，诠释了乐观积极的现代女性精神。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d14114,http://ci.xiaohongshu.com/059ae3da-d213-4df3-bdee-e0344b012ad0
大创 DAISO,None,7609,日本,Daiso成立于1972年，是日本百元店的元老。丰富的品种和新奇的产品成为大创的特色。,https://www.xiaohongshu.com/page/brands/5a4384968000862471d15ad9,http://ci.xiaohongshu.com/5b9bb981-fbcf-4252-b14f-9867b76de47e
SK-II,7.6万,4.3万,日本,日本高端护肤品牌，以“晶莹剔透”为品牌理念，尤其深受亚洲女性的欢迎。肤精华露、肌源修护精华露、肌源修护精华霜和肌源修护焕采眼霜+逆磁力微导仪是它家的四大王牌。,https://www.xiaohongshu.com/page/brands/5a43849b8000862471d16102,http://ci.xiaohongshu.com/07d23bf2-ece7-48ad-b5e8-56a83cf80411
吉尔斯图尔特 JILL STUART,32,6178,美国,Jill Stuart作为非常少女心的彩妆品牌，甜美可爱的设计风格深受年轻女孩喜爱，四色眼影和腮红都是红薯的爱用彩妆品。,https://www.xiaohongshu.com/page/brands/5a4384818000862471d1405a,http://ci.xiaohongshu.com/7fc0148a-e26f-4719-99ba-0cbb2cda515b
罗拉玛斯亚 Laura Mercier,None,7564,法国,Laura Mercier是法国彩妆大师Laura Mercier创立的个人专业彩妆品牌，打造精致的底妆是品牌开始的主要理念。妆前乳、散粉都是它家的明星的产品，持妆效果让油皮都能感动哭~,https://www.xiaohongshu.com/page/brands/5a4384838000862471d142b7,http://ci.xiaohongshu.com/337e29c6-0849-4121-9ff2-7d1af8dcfeb6
小林制药 Kobayashi,None,7850,日本,日本著名制药企业，致力于开发生产生活必备品，创造专业品牌，满足消费者各方面需求。让每一位消费者都拥有“身心的舒适健康”。,https://www.xiaohongshu.com/page/brands/5a43848a8000862471d14bdd,http://ci.xiaohongshu.com/f94119d5-12d4-433b-a622-cb8d265e5bba
希思黎 sisley,6.7万,1.1万,法国,法国高端植物护肤品牌，贵妇品牌中的全能冠军！,https://www.xiaohongshu.com/page/brands/5a43848d8000862471d14ef9,http://ci.xiaohongshu.com/584f3230-83a8-4cfd-871b-7835706aeb8a
Swisse,27.8万,1.8万,澳大利亚,1969年创立于墨尔本的健康食品品牌，被各大网红、名人推荐，且深受明星的欢迎。在选材和产品配方的研发上及其严格，现在产品涵盖了男士、女士复合维生素、膳食补充剂、乃至运动营养、护肤品和功能食品，销售网络拓宽至30多个国家。,https://www.xiaohongshu.com/page/brands/5a4384818000862471d140c7,http://ci.xiaohongshu.com/c643ac7f-e1e1-428f-ab27-a8a16e3b1c63
后 The History of Whoo,5.3万,2.2万,韩国,是属于LG的韩国高端护肤品牌，WHOO后的品牌价值与理念，就是对高品位、高格调之美的追求。奢华的宫廷风格让广大小红薯为之倾心。,https://www.xiaohongshu.com/page/brands/5a4384848000862471d14498,http://ci.xiaohongshu.com/337f624c-1954-4c06-804d-cd34637d4e6f
耐克 Nike,None,6.3万,美国,全球著名体育品牌商，强大的运动性能和时尚的外形设计使他广受追捧。,https://www.xiaohongshu.com/page/brands/5a43848a8000862471d14be3,http://ci.xiaohongshu.com/b82c04e9-9d35-49a6-a811-a2216823ee5e
植村秀 shu uemura,None,2.4万,日本,植村秀品牌由具有传奇经历的日本彩妆大师——植村秀先生创立。秉承着“自然、科学、艺术”的日式美妆哲学，和“美丽妆容始于完美肌肤”的理念，打造了领先时尚的彩妆、创新高效的保养及质量卓越的刷具组，并以「简约而丰富」的创作风格呈现于世。,https://www.xiaohongshu.com/page/brands/5a43848e8000862471d150a6,http://ci.xiaohongshu.com/66806490-c95b-3aff-868d-5dbea22fc8f8
拉杜丽 Laduree,None,5908,日本,以马卡龙甜点为设计元素的日本彩妆品牌，高颜值的外表和超好用的实力产品，俘获了许多少女心的女性。,https://www.xiaohongshu.com/page/brands/5a43847e8000862471d13be5,http://ci.xiaohongshu.com/d0cb30e7-4ac4-4db3-bea5-67ac5174f521
