景点名,排名,评分,评价数,价格,地址,详情页url
世界之窗,1,4.4,23510,85,深圳市南山区华侨城深南大道9037号,https://you.ctrip.com/sight/shenzhen26/2778.html
东部华侨城,2,4.5,14640,100,深圳市盐田区大梅沙东部华侨城,https://you.ctrip.com/sight/shenzhen26/50102.html
深圳欢乐谷,3,4.4,11128,49,深圳市南山区华侨城侨城西路,https://you.ctrip.com/sight/shenzhen26/13720.html
锦绣中华民俗村,4,4.6,9109,59,深圳市南山区深南大道中段西端华侨城,https://you.ctrip.com/sight/shenzhen26/2776.html
大梅沙海滨公园,5,4.4,1221,,深圳市盐田区盐葵路大梅沙段148号,https://you.ctrip.com/sight/shenzhen26/5812.html
红树林,6,4.5,736,,深圳市福田区滨河大道,https://you.ctrip.com/sight/shenzhen26/50544.html
深圳野生动物园,7,4.5,6806,120,深圳市南山区西丽湖东侧,https://you.ctrip.com/sight/shenzhen26/6037.html
西冲,8,4.2,765,78,深圳市龙岗区南澳镇,https://you.ctrip.com/sight/shenzhen26/50565.html
小梅沙,9,4.2,813,48,深圳市盐田区大鹏湾畔小梅沙,https://you.ctrip.com/sight/shenzhen26/2780.html
小梅沙海洋世界,10,4.4,6086,155,深圳市盐田区小梅沙海滨旅游区,https://you.ctrip.com/sight/shenzhen26/50516.html
杨梅坑,11,4.4,346,399,深圳市龙岗区东山社区,https://you.ctrip.com/sight/shenzhen26/50571.html
地王观光·深港之窗,12,4.2,1336,70,深圳市罗湖区地王大厦69F,https://you.ctrip.com/sight/shenzhen26/11546.html
较场尾,13,4.2,282,,深圳市大鹏新区,https://you.ctrip.com/sight/shenzhen26/1508470.html
荷兰花卉小镇,14,4.3,266,,深圳市南山区月亮湾大道3008号,https://you.ctrip.com/sight/shenzhen26/1508482.html
沙头角中英街,15,4.0,597,,深圳市盐田区沙头角镇,https://you.ctrip.com/sight/shenzhen26/20401.html
莲花山公园,16,4.6,738,,深圳市福田区红荔路6030号,https://you.ctrip.com/sight/shenzhen26/50541.html
青青世界,17,4.5,1223,75,深圳市南山区月亮湾,https://you.ctrip.com/sight/shenzhen26/2777.html
南澳,18,4.3,202,60,深圳市龙岗区,https://you.ctrip.com/sight/shenzhen26/5819.html
光明农场大观园,19,3.9,962,73,深圳市宝安区光明新区碧水路农场大观园,https://you.ctrip.com/sight/shenzhen26/2781.html
观澜山水田园旅游文化园,20,4.1,1080,11.11,深圳市龙华区观澜镇君子布环观南路山水田园旅游文化园,https://you.ctrip.com/sight/shenzhen26/50575.html
东部华侨城茶溪谷,21,4.2,1312,,深圳市盐田区大梅沙东部华侨城,https://you.ctrip.com/sight/shenzhen26/133212.html
梧桐山,22,4.6,358,,深圳市罗湖区梧桐山村,https://you.ctrip.com/sight/shenzhen26/50545.html
海上世界,23,4.5,455,,深圳市南山区蛇口望海路1128号,https://you.ctrip.com/sight/shenzhen26/5815.html
仙湖植物园,24,4.4,431,,深圳市罗湖区仙湖路160号仙湖植物园,https://you.ctrip.com/sight/shenzhen26/2783.html
大鹏所城,25,4.2,325,399,深圳市龙岗区南门东路,https://you.ctrip.com/sight/shenzhen26/50528.html
海上田园,26,4.0,882,55,深圳市宝安区沙井镇民主村民主大道,https://you.ctrip.com/sight/shenzhen26/50521.html
深圳欢乐海岸,27,4.5,776,39.9,深圳市南山区白石路东8号欢乐海岸,https://you.ctrip.com/sight/shenzhen26/1408300.html
茶溪谷茵特拉根小镇,28,4.4,132,,深圳市盐田区大梅沙东部华侨城茶溪谷景区内,https://you.ctrip.com/sight/shenzhen26/1508465.html
深圳大学,29,4.6,328,,深圳市南山区南海大道3688号,https://you.ctrip.com/sight/shenzhen26/145401.html
欢乐海岸海洋奇梦馆,30,4.3,1133,60,深圳市南山区白石路东8号欢乐海岸购物中心二楼东端,https://you.ctrip.com/sight/shenzhen26/142067.html
邓小平画像,31,4.5,219,,深圳市福田区红岭大厦1栋28,https://you.ctrip.com/sight/shenzhen26/50538.html
园博园,32,4.4,249,,深圳市福田区深南大道8002号,https://you.ctrip.com/sight/shenzhen26/50576.html
东门老街,33,4.3,675,9.9,深圳市罗湖区,https://you.ctrip.com/sight/shenzhen26/50547.html
大芬油画村,34,4.2,250,,深圳市龙岗区布吉镇大芬村,https://you.ctrip.com/sight/shenzhen26/50532.html
东部华侨城大侠谷,35,4.4,1722,100,深圳市盐田区大梅沙东部华侨城内,https://you.ctrip.com/sight/shenzhen26/133211.html
凤凰山,36,4.4,290,,深圳市宝安区福永街道凤凰村,https://you.ctrip.com/sight/shenzhen26/50572.html
深圳湾公园,37,4.7,295,,深圳市南山区滨海侨城东立交桥,https://you.ctrip.com/sight/shenzhen26/1508177.html
大鹏半岛,38,4.5,55,45,深圳市龙岗区,https://you.ctrip.com/sight/shenzhen26/1474852.html
东冲,39,4.4,75,,深圳市龙岗区东涌旅游区内,https://you.ctrip.com/sight/shenzhen26/135871.html
深圳市民中心,40,4.5,207,,深圳市福田区福中三路1号（近少年宫）,https://you.ctrip.com/sight/shenzhen26/1508447.html
荔枝公园,41,4.5,332,,深圳市福田区红岭中路1001,https://you.ctrip.com/sight/shenzhen26/122378.html
何香凝美术馆,42,4.4,169,,深圳市南山区深南大道9103号,https://you.ctrip.com/sight/shenzhen26/50816.html
深圳博物馆,43,4.5,273,,深圳市福田区福中路市民中心A区,https://you.ctrip.com/sight/shenzhen26/1468746.html
关山月美术馆,44,4.5,129,,深圳市福田区红荔路6026号,https://you.ctrip.com/sight/shenzhen26/50815.html
罗湖口岸,45,4.4,388,,深圳市罗湖区人民南路,https://you.ctrip.com/sight/shenzhen26/122206.html
《深蓝秘境》水域舞台演出,46,4.5,895,70,深圳市南山区白石路东8号（欢乐海岸水秀剧场）,https://you.ctrip.com/sight/shenzhen26/136089.html
羊台山森林公园,47,4.4,372,,深圳市石岩镇龙腾路龙眼山村,https://you.ctrip.com/sight/shenzhen26/50518.html
金色海岸游艇,48,4.4,371,90,深圳市盐田区海鲜食街1号金色海岸码头,https://you.ctrip.com/sight/shenzhen26/141484.html
华侨城创意文化园,49,4.5,143,,深圳市南山区锦绣北街2号,https://you.ctrip.com/sight/shenzhen26/1493491.html
弘法寺,50,4.6,77,,深圳市罗湖区莲塘仙湖路160号仙湖植物园内,https://you.ctrip.com/sight/shenzhen26/145400.html
观澜版画村,51,4.6,102,,深圳市龙华区裕新路169号,https://you.ctrip.com/sight/shenzhen26/1508469.html
大鹏半岛地质公园,52,4.3,49,,深圳市大鹏新区南澳地质公园路1号,https://you.ctrip.com/sight/shenzhen26/110079.html
甘坑客家小镇,53,4.3,184,12,深圳市龙岗区布吉吉华街道甘李路18号,https://you.ctrip.com/sight/shenzhen26/1708576.html
深圳会展中心,54,4.5,439,,深圳市福田区福华三路,https://you.ctrip.com/sight/shenzhen26/50540.html
七娘山,55,4.4,53,,深圳市龙岗区大鹏半岛,https://you.ctrip.com/sight/shenzhen26/50522.html
中潜潜水世界,56,4.4,26,,深圳市南山区桃园路田园国际大厦AB座1-3层,https://you.ctrip.com/sight/shenzhen26/2065204.html
大梅沙出海游,57,4.8,16,,深圳市盐田区盐葵路大梅沙段148号,https://you.ctrip.com/sight/shenzhen26/2479178.html
深圳平安金融中心云际观光层,58,4.9,4305,180,深圳市福田区益田路5033号平安金融中心116层,https://you.ctrip.com/sight/shenzhen26/4336342.html
西冲潜水,59,4.2,5,138,深圳市大鹏新区西冲,https://you.ctrip.com/sight/shenzhen26/2478706.html
玫瑰海岸,60,4.3,95,79.9,深圳市龙岗区深葵公路,https://you.ctrip.com/sight/shenzhen26/1417781.html
杨梅坑出海,61,4.5,2,,深圳市龙岗区大鹏镇杨梅坑,https://you.ctrip.com/sight/shenzhen26/2478893.html
蛇口,62,4.6,127,160,深圳市南山区蛇口工业区，南头半岛东南部，东临深圳湾，西依珠江口,https://you.ctrip.com/sight/shenzhen26/145402.html
桔钓沙,63,4.2,39,,深圳市龙岗区X260(新东路),https://you.ctrip.com/sight/shenzhen26/50526.html
东湖公园,64,4.5,236,,深圳市罗湖区爱国路4006号,https://you.ctrip.com/sight/shenzhen26/50550.html
洪湖公园,65,4.5,284,,深圳市罗湖区文锦北路2023号,https://you.ctrip.com/sight/shenzhen26/50554.html
世界之窗阿尔卑斯冰雪世界,66,4.3,322,45,深圳市南山区深南大道9037号北门,https://you.ctrip.com/sight/shenzhen26/1676277.html
西冲出海游,67,4.9,8,,深圳市龙岗区西冲旅游区,https://you.ctrip.com/sight/shenzhen26/2479177.html
海菲德小镇,68,4.4,31,,深圳市盐田区大梅沙东部华侨城大侠谷内,https://you.ctrip.com/sight/shenzhen26/1508450.html
观澜湖休闲旅游区,69,4.4,52,,深圳市龙华新区观澜高尔夫大道1号观澜湖高尔夫球会,https://you.ctrip.com/sight/shenzhen26/1512992.html
大华兴寺,70,4.6,62,,深圳市盐田区大梅沙东部华侨城云海谷体育公园旁,https://you.ctrip.com/sight/shenzhen26/1508524.html
大鹏七星湾出海游,71,,暂无点评,,深圳市大鹏新区东山社区海碓路,https://you.ctrip.com/sight/shenzhen26/2478705.html
福田口岸,72,4.3,208,,深圳市福田区裕亨路（福田保税区东侧）,https://you.ctrip.com/sight/shenzhen26/1410627.html
大鹏出海游,73,4.3,3,,深圳市龙岗区南澳,https://you.ctrip.com/sight/shenzhen26/2478801.html
东山寺,74,4.5,91,,深圳市大鹏新区大鹏镇鹏飞路东山寺,https://you.ctrip.com/sight/shenzhen26/1508734.html
大芬美术馆,75,4.5,67,,深圳市龙岗区布吉街道大芬油画村内老围东三巷,https://you.ctrip.com/sight/shenzhen26/1508911.html
中山公园,76,4.3,200,,深圳市南山区南山大道3109号(近汇泉广场),https://you.ctrip.com/sight/shenzhen26/50585.html
华强北路,77,4.4,276,,深圳市福田区振华路与华强北路的交汇处,https://you.ctrip.com/sight/shenzhen26/50548.html
龙园,78,4.3,201,,深圳市龙岗区龙园路416号,https://you.ctrip.com/sight/shenzhen26/50590.html
深南大道,79,4.6,57,,深圳市，经过福田区和南山区。,https://you.ctrip.com/sight/shenzhen26/1508954.html
马峦山,80,4.5,81,,深圳市坪山区坪马线公路,https://you.ctrip.com/sight/shenzhen26/50530.html
皇岗口岸,81,4.3,104,,深圳市福田区皇岗南路皇岗口岸,https://you.ctrip.com/sight/shenzhen26/1410651.html
华侨城湿地公园,82,4.6,96,,深圳市南山区白石路东8号欢乐海岸华侨城湿地,https://you.ctrip.com/sight/shenzhen26/122225.html
南头古城,83,3.9,150,,深圳市南山区南头天桥北8米处(深南大道旁),https://you.ctrip.com/sight/shenzhen26/18123.html
笔架山公园,84,4.4,139,,深圳市福田区梅岗路26号,https://you.ctrip.com/sight/shenzhen26/50552.html
深圳书城,85,4.6,175,,深圳市福田区福中一路2014号,https://you.ctrip.com/sight/shenzhen26/1417902.html
儿童公园,86,4.3,175,,深圳市罗湖区东门中路2269号,https://you.ctrip.com/sight/shenzhen26/50587.html
园山风景区,87,4.3,133,,深圳市横岗大康村公园路,https://you.ctrip.com/sight/shenzhen26/50577.html
中心公园,88,4.5,201,,深圳市福田区振华西路1号,https://you.ctrip.com/sight/shenzhen26/50551.html
人民公园,89,4.5,121,,深圳市罗湖区人民北路3071号,https://you.ctrip.com/sight/shenzhen26/50583.html
深圳大学城,90,4.6,100,,深圳市南山区西丽丽水路,https://you.ctrip.com/sight/shenzhen26/1508755.html
四海公园,91,4.3,214,,深圳市南山区公园路6号,https://you.ctrip.com/sight/shenzhen26/136187.html
欢乐干线,92,4.0,130,,深圳市南山区深南大道,https://you.ctrip.com/sight/shenzhen26/6049.html
宝安科技馆,93,4.5,130,,深圳市宝安区龙井路,https://you.ctrip.com/sight/shenzhen26/70292.html
龙华公园,94,4.2,280,,深圳市宝安区人民北路（近公园路）,https://you.ctrip.com/sight/shenzhen26/122328.html
锦绣中华微缩景区,95,4.5,117,,深圳市南山区深南大道9003号锦绣中华民俗村内,https://you.ctrip.com/sight/shenzhen26/1508552.html
大亚湾核电站,96,4.5,164,,深圳市龙岗区大鹏镇大坑村麻角山大亚湾畔,https://you.ctrip.com/sight/shenzhen26/50527.html
皇岗公园,97,4.3,200,,深圳市福田区益田路2002号,https://you.ctrip.com/sight/shenzhen26/50553.html
冰纷万象滑冰场,98,4.5,88,,深圳市罗湖区宝安南路1881号华润万象城4楼,https://you.ctrip.com/sight/shenzhen26/1510675.html
华侨城生态广场,99,4.5,85,,深圳市南山区华侨城中部，西临杜鹃山东街与欢乐谷隔街相望，南面是中旅广场,https://you.ctrip.com/sight/shenzhen26/1508525.html
翠竹公园,100,4.4,147,,深圳市罗湖区翠竹路1078号,https://you.ctrip.com/sight/shenzhen26/6047.html
梅林山公园,,4.6,85,,深圳市福田区梅亭路14号,https://you.ctrip.com/sight/shenzhen26/122322.html
南山图书馆,,4.6,98,,深圳市南山区常兴路176号,https://you.ctrip.com/sight/shenzhen26/1511137.html
湿地花园,,4.5,40,,深圳市盐田区大梅沙东部华侨城茶溪谷内,https://you.ctrip.com/sight/shenzhen26/1510508.html
深圳大梅沙湾游艇会,,4.5,95,330,深圳市盐田区大梅沙盐梅路89号,https://you.ctrip.com/sight/shenzhen26/1408123.html
鹤湖新居,,4.3,83,,深圳市龙岗区龙岗街道南联社区罗瑞合北街一号,https://you.ctrip.com/sight/shenzhen26/50557.html
